,listing_id,latitude,longitude
100141,6900939,40.7892,-73.9705
100144,6866313,40.7571,-73.9647
100149,6854532,40.7299,-73.9819
100151,6946257,40.7796,-73.9493
100156,6878074,40.7459,-73.9564
100160,6879306,40.7467,-73.9854
100161,6891766,40.7619,-73.9854
100166,6844733,40.7341,-73.9896
100170,6932777,40.7413,-73.9779
100172,6875163,40.7351,-73.9531
100175,6892631,40.8028,-73.9648
100177,6851714,40.7196,-74.0109
100179,6890772,40.7777,-73.9532
100181,6899196,40.7087,-74.0058
100182,6889430,40.7924,-73.9741
100184,6870967,40.7756,-73.9846
100185,6868139,40.7054,-74.0095
100188,6877460,40.7108,-73.8543
100193,6940305,40.7802,-73.9444
100196,6869315,40.664,-73.9342
100198,6818183,40.7349,-73.9863
1002,7208829,40.7617,-73.9626
10020,7147322,40.8394,-73.9381
100200,6897676,40.7931,-73.9715
100203,6848778,40.7788,-73.9538
100205,6846405,40.6578,-73.9259
100206,6828553,40.769,-73.9541
100209,6819930,40.6633,-73.9824
10021,7091995,40.7762,-73.9592
100213,6882553,40.7604,-73.9617
100214,6875784,40.778,-73.9774
100215,6929175,40.7801,-73.9803
100216,6864916,40.7447,-74.0052
100219,6872659,40.6896,-73.9982
100221,6883194,40.7306,-73.8519
100222,6889329,40.7318,-74.0016
100224,6911693,40.7594,-73.9712
100227,6933506,40.748,-73.9572
100233,6907978,40.7681,-73.9858
100234,6866364,40.624,-74.0312
100235,6944517,40.7161,-73.9548
100237,6875769,40.7676,-73.9577
100240,6830093,40.7073,-74.0046
100241,6914141,40.5946,-73.9617
100243,6885991,40.7426,-73.979
100245,6817707,40.7793,-73.9496
100246,6890059,40.7216,-73.9423
100247,7121934,40.7802,-73.9504
100248,6822355,40.7128,-74.0059
100250,6924176,40.7763,-73.9518
100251,6886300,40.7676,-73.9813
100253,6856146,40.5757,-73.9686
100254,6869981,40.7777,-73.9883
100256,6934541,40.8034,-73.9661
100259,6943997,40.7133,-73.9395
100260,6851019,40.8678,-73.9251
100262,6856770,40.7592,-73.9903
100263,6925656,40.7779,-73.9525
100264,6838450,40.7064,-74.01
100265,6931557,40.7108,-73.9878
100270,6873855,40.7856,-73.9794
100274,6882012,40.7281,-73.9812
100276,6899273,40.7393,-73.9817
100277,6927877,40.7736,-73.947
100278,6919514,40.7633,-73.9628
100279,6900844,40.7444,-73.9754
100282,6894530,40.7796,-73.7804
100283,6890146,40.7697,-73.9581
100286,6933977,40.7075,-74.0113
100287,6837789,40.7264,-73.9836
10029,7095651,40.7947,-73.9667
100296,6930615,40.7983,-73.9416
100297,6907321,40.7481,-73.9748
100299,6864865,40.7993,-73.9689
10030,7229402,40.7694,-73.9603
100300,6825388,40.7299,-73.9819
100302,6903190,40.7751,-73.9481
100305,6812585,40.7922,-73.9645
100307,6886100,40.7366,-73.9934
100308,6922235,40.6896,-73.9527
100310,6820367,40.7324,-74.0081
100311,6903401,40.7412,-73.9772
100314,6883529,40.754,-73.9678
100316,6910087,40.7382,-73.9965
100317,6886430,40.764,-73.98
100318,6818493,40.7401,-74.0039
100319,6920767,40.7481,-73.9564
100322,6831747,40.7723,-73.948
100324,6877550,40.7681,-73.9527
10033,7108485,40.7777,-73.9498
100331,6894240,40.7951,-73.9676
100332,6855492,40.6905,-73.9668
100333,6812475,40.7612,-73.9978
100335,6947696,40.7906,-73.9687
100338,6830764,40.8666,-73.9217
10034,7107622,40.7692,-73.9847
100343,6927068,40.7075,-74.0059
100345,6862919,40.6812,-73.9105
100346,6875908,41.0412,-73.54
100348,6900832,40.7634,-73.9596
100356,6878419,40.7307,-73.9837
100358,6886196,40.7242,-73.9878
100359,6862696,40.7298,-73.9868
100360,6828701,40.7658,-73.9781
10037,7096956,40.7548,-73.9944
100371,6905574,40.7437,-73.9585
100377,6965440,40.7177,-73.9984
100380,6851802,40.763,-73.9579
100382,6914964,40.6663,-73.9402
100385,6886758,40.7406,-73.9822
100386,6935754,40.755,-73.9663
100387,6941377,40.7621,-73.9956
100390,6940927,40.7469,-73.9803
100391,6853469,40.7111,-73.8272
100392,6926629,40.7182,-74.0148
100395,6876419,40.8217,-73.9486
100399,6932079,40.7265,-73.9835
1004,7195591,40.7441,-73.8792
10040,7172841,40.7689,-73.9681
100400,6862351,40.7032,-73.9914
100403,6821667,40.7787,-73.9751
100406,6849785,40.7265,-73.9851
100410,6942038,40.7491,-73.9789
100411,6909039,40.7793,-73.9496
100412,6903614,40.7726,-73.926
100417,6874758,40.7462,-73.9757
100419,6840041,40.7346,-74.0018
100422,6918057,40.7062,-74.0099
100423,6864381,40.7704,-73.9566
100424,6928762,40.7616,-73.9643
100427,6831840,40.755,-73.9636
100429,6945500,40.7588,-73.9907
100433,6853927,40.6911,-73.9822
100437,6839585,40.7417,-73.9806
100438,6887119,40.7603,-73.995
100439,6847031,40.7658,-73.9781
100440,6841584,40.8342,-73.9427
100444,6864072,40.7604,-73.987
100445,6926755,40.746,-73.9754
100446,6880947,40.7771,-73.9496
100449,6929248,40.7412,-73.9772
10045,7187990,40.6577,-73.9055
100451,6859496,40.7637,-73.9846
100454,6897104,40.7095,-74.0094
100457,6864115,40.7425,-73.9926
100458,6843557,40.7088,-74.0143
100463,6868334,40.7722,-73.9606
100464,6918821,40.7489,-73.9765
100465,6841075,40.7274,-73.9882
100467,6846567,40.7512,-74.0026
100468,6932296,40.7593,-73.9962
100469,6930696,40.753,-73.9959
100471,6917095,40.8008,-73.9611
100472,6938861,40.7221,-73.9837
100473,6843876,40.731,-73.9876
100475,6924281,40.7928,-73.9758
100477,6930371,40.753,-73.9695
100479,6849385,40.7302,-73.9826
10048,7145794,40.7663,-73.8288
100482,6864804,40.7328,-74.0089
100489,6899452,40.7992,-73.9674
100490,6907090,40.7588,-73.9694
100491,6822287,40.756,-73.9687
100493,6918128,40.7612,-73.9978
100497,6858138,40.7297,-73.986
100498,6908210,40.7444,-74.0
100502,6944085,40.742,-73.9826
100504,6865014,40.7976,-73.968
100509,6931540,40.7836,-73.9491
100511,6864155,40.7868,-73.9504
100512,6876775,40.8035,-73.9567
100514,6861664,40.708,-74.0149
100515,6824701,40.7803,-73.9465
100518,6893811,40.7861,-73.9777
10052,7193261,40.7032,-73.9914
100521,6937909,40.7111,-74.0055
100523,6901602,40.7356,-73.9828
100524,6930606,40.7316,-73.9839
100526,6849599,40.6167,-73.955
10053,7153130,40.6503,-74.0135
100535,6895162,40.7852,-73.9777
100536,6858024,40.7842,-73.948
100543,6910133,40.7633,-73.9785
100544,6822146,40.7443,-73.9859
100545,6833238,40.7462,-73.9757
100547,6827455,40.6905,-73.9668
10055,7171381,40.7087,-74.0058
100551,6858791,40.7187,-73.9831
100553,6823927,40.7489,-73.9732
100558,6855206,40.7331,-74.0055
100559,6903826,40.7299,-73.9819
100560,6945350,40.7405,-73.9767
100561,6904890,40.7449,-73.9812
100563,6908847,40.7775,-73.9483
100564,6944534,40.7974,-73.9706
100567,6902444,40.7518,-73.9849
10057,7228593,40.727,-74.0308
100571,6812548,40.7421,-73.9788
100574,6912781,40.7603,-73.961
100577,6931240,40.7752,-73.9887
100583,6947000,40.7081,-74.0065
100591,6844961,40.759,-73.9621
100593,6935502,40.71,-74.0143
100596,6925837,40.7333,-73.9796
100597,6909915,40.7894,-73.9764
100598,6812831,40.7427,-73.9794
100600,6868650,40.7865,-73.9744
100601,6891734,40.7481,-73.9564
100602,6925811,40.7033,-73.92
100604,6932120,40.7238,-73.9902
100605,6847239,40.7047,-74.0076
10061,7120960,40.7466,-73.9779
100613,6880824,40.7838,-73.9535
100614,6889991,40.7705,-73.9485
100617,6890852,40.7706,-73.9501
100619,6851578,40.8441,-73.9406
100620,6839190,40.7568,-73.9982
100622,6920989,40.6905,-73.9668
100624,6899246,40.753,-73.9695
100626,6876602,40.8071,-73.9552
100628,6813199,40.7749,-73.9782
100629,6866253,40.6461,-73.9617
100630,6879298,40.7318,-73.9864
100633,6943593,40.7633,-73.9785
100634,6941339,40.6774,-73.9583
100636,6877936,40.7628,-73.9849
100638,6860098,40.6621,-73.9793
10064,7134800,40.7247,-73.9935
100640,6919760,40.8233,-73.9532
100641,6893051,40.7343,-74.0094
100642,6897686,40.7632,-73.9907
100644,6898951,40.745,-73.9863
100646,6905541,40.7705,-73.9485
100648,6859023,40.6493,-73.974
100649,6906328,40.7729,-73.9485
100650,6860123,40.7625,-73.9864
100657,6915828,40.8222,-73.94
100658,6891232,40.7586,-73.9838
100659,6894024,40.8246,-73.9508
100660,6837641,40.7805,-73.9464
100661,6858262,40.7974,-73.9708
100662,6861869,40.8021,-73.9392
100663,6826214,40.6898,-73.9797
100664,6836651,40.7334,-74.0047
100670,6905805,40.7735,-73.9064
100671,6815069,40.7771,-73.9515
100672,6888729,40.7601,-73.99
100677,6851174,40.7863,-73.971
10068,7206584,40.7767,-73.9456
100684,6898347,40.7669,-73.9344
100685,6858693,40.7338,-74.0009
100686,6877608,40.7494,-73.8801
100688,6882555,40.8419,-73.9377
100689,6861263,40.7321,-74.008
100690,6858022,40.779,-73.9461
100692,6829656,40.7292,-73.986
100694,6872957,40.7381,-73.992
100697,6890888,40.7369,-73.8633
1007,7132576,40.7222,-73.9464
10070,7158560,40.7316,-73.9838
100703,6904435,40.7559,-73.9658
100709,6893404,40.7549,-73.969
100710,6843855,40.7198,-73.9991
100718,6820208,40.7446,-73.974
100721,6875471,40.7826,-73.9509
100723,6929152,40.7238,-73.9902
100725,6919083,40.7854,-73.9752
100727,6932695,40.7075,-74.0059
100729,6842582,40.6736,-73.9659
10073,7111226,40.8063,-73.9157
100732,6921560,40.7538,-73.974
100734,6920295,40.7792,-73.9514
100735,6913971,40.7621,-73.9638
100737,6821744,40.7785,-73.9759
100739,6874221,40.6906,-73.9827
100740,6912685,40.764,-73.9799
100742,6829725,40.7073,-74.0046
100743,6843776,40.7802,-73.9504
100744,6912023,40.7582,-73.9622
100748,6916320,40.7348,-73.9865
100751,6890825,40.7409,-73.9812
100753,6883577,40.7606,-73.9963
100765,6940273,40.7775,-73.9536
100767,6918304,40.7081,-74.0065
10077,7174416,40.7616,-73.9936
100770,6919459,40.7487,-73.9901
100772,6815148,40.8365,-73.9441
100774,6860165,40.7993,-73.9625
100776,6945704,40.7635,-73.9799
100789,6909329,40.7528,-73.9709
10079,7205608,40.7087,-73.955
100791,6927091,40.7346,-74.0018
100793,6876991,40.7885,-73.9749
100797,6869355,40.6882,-73.9615
100798,6855104,40.7568,-73.9982
10080,7113729,40.7756,-73.9846
100805,6847902,40.7416,-73.9216
100808,6822899,40.7562,-73.9964
100809,6947346,40.8064,-73.9181
100811,6816525,40.7462,-73.9757
100812,7471358,40.7295,-73.9893
100813,6831743,40.7619,-73.9854
100814,6848609,40.7373,-74.0042
100816,6946711,40.7447,-73.9774
100818,6893068,40.7606,-73.9994
10082,7127584,40.7084,-74.0008
100823,6939964,40.6629,-73.9846
100826,6844925,40.7716,-73.9812
100827,6856878,40.7165,-73.9505
100829,6874598,40.771,-73.9533
100833,6839398,40.7725,-73.9819
100837,6822645,40.7239,-73.9798
100839,6938914,40.7787,-73.909
10084,7107647,40.8309,-73.9486
100840,6877332,40.7579,-73.9129
100841,6858267,40.7284,-73.9992
100842,6893222,40.7655,-73.9817
100849,6885465,40.7439,-73.9971
10085,7221513,40.7719,-73.9861
100850,6934243,40.7847,-74.0059
100852,6842868,40.708,-74.0149
100853,6815144,40.7301,-73.9927
100854,6814331,40.7233,-73.9946
10086,7203554,40.7602,-73.9689
100860,6948152,40.7454,-73.9845
100862,6911398,40.7681,-73.9563
100869,6861074,40.7678,-73.9915
100870,6876221,40.7401,-73.9887
100873,6913597,40.7327,-73.9931
100874,6889276,40.7396,-74.0035
100875,6855891,40.6907,-73.9216
100876,6869303,40.86,-73.9052
100880,6911357,40.7972,-73.9488
100881,6870397,40.8539,-73.9318
100883,6939391,40.7699,-73.9488
100885,6859150,40.7624,-73.9964
100886,6851544,40.7404,-73.929
100890,6813023,40.6927,-73.986
100894,6867693,40.7658,-73.9781
100897,6856105,40.7351,-73.978
100899,6944002,40.7365,-73.8676
100900,6935188,40.7988,-73.9694
100902,6839675,40.753,-73.9958
100903,6944661,40.7864,-73.9421
100904,6837078,40.7976,-73.968
100906,6906479,40.7383,-74.0006
100907,6942482,40.7617,-73.9617
100909,6819306,40.7297,-74.004
100910,6913510,40.7717,-73.9518
100911,6866267,40.7957,-73.9705
100914,6908846,40.7401,-73.9822
100920,6898949,40.7594,-73.9712
100921,6905253,40.7061,-74.0111
100922,6835051,40.8713,-73.9148
100923,6871631,40.8266,-73.9398
100924,6829004,40.7803,-73.9466
100925,6884221,40.6661,-73.9882
100931,6871672,40.7035,-74.0109
100933,6905296,40.7437,-73.9851
100940,6855165,40.7454,-73.9776
100942,6842827,40.7192,-73.9828
100944,6907132,40.7067,-74.0101
100945,6916552,40.7334,-74.0047
100946,6879257,40.7348,-73.9865
100947,6818561,40.7779,-73.9515
10095,7181422,40.7658,-73.9171
100950,6842179,40.7638,-73.9941
100951,7233989,40.8025,-73.9587
100953,6889021,40.753,-73.9695
10096,7215344,40.7723,-73.9587
100960,6883273,40.7062,-74.0099
100962,6852703,40.7231,-74.0044
100963,6926583,40.7213,-73.9952
100964,6915800,40.8247,-73.949
100969,6831467,40.7105,-73.9532
100971,6821452,40.8013,-73.9606
100972,6883437,40.7104,-73.9486
100974,6933890,40.7079,-74.0099
100976,6934577,40.795,-73.9708
100979,6867668,40.7748,-73.9551
100980,6947775,40.731,-73.9831
100981,6930654,40.8031,-73.957
100983,6883606,40.7412,-73.9772
100984,6864846,40.7669,-73.9621
100985,6919587,40.7443,-73.9805
100987,6833014,40.7463,-73.9773
100988,6881215,40.7299,-73.9826
100989,6912936,40.728,-73.9832
100992,6899009,40.7676,-73.9601
100997,6868106,40.7548,-73.9944
101,7152345,40.6455,-73.961
1010,7128756,40.7689,-73.9681
101003,6948199,40.7466,-73.9779
101005,6863735,40.7482,-74.0051
101007,6882915,40.7775,-73.9835
101008,6944605,40.7334,-74.0047
101012,6841107,40.7743,-73.9874
101013,6901910,40.7691,-73.9857
101018,6920508,40.7081,-74.0065
101020,6847735,40.7652,-73.9897
101021,6825563,40.7283,-73.9875
101023,6898733,40.743,-73.9805
101024,6929970,40.7989,-73.9535
101026,6932844,40.7678,-73.9915
101028,6921047,40.6905,-73.9668
101034,6859304,40.7739,-73.9529
101035,6822568,40.6692,-73.9503
101036,6942565,40.7568,-73.9982
101038,6938531,40.7299,-73.9819
101041,6940656,40.7039,-73.9425
101042,6940346,40.7593,-73.9959
101045,6946188,40.7537,-73.9682
101049,6846621,40.7376,-73.9738
101050,6941049,40.7061,-74.0111
101051,6891065,40.7331,-73.9972
101053,6925476,40.7587,-73.9838
101058,6826600,40.708,-74.0149
10106,7203769,40.8404,-73.9375
101063,6915739,40.844,-73.9414
101067,6891018,40.7678,-73.9869
101068,6823888,40.7295,-74.0029
101075,6864205,40.709,-74.0169
101078,6918418,40.7436,-73.9727
101080,6931405,40.694,-73.9828
101083,6891659,40.7512,-74.0026
101084,6847176,40.748,-73.981
101085,6919461,40.7324,-73.9875
101089,6920256,40.7177,-73.9907
10109,7128909,40.7806,-73.947
101090,6912967,40.7922,-73.9645
101091,6940633,40.7742,-73.9475
101092,6826714,40.7073,-74.0046
101097,6901980,40.7487,-73.9425
101099,6935960,40.8031,-73.957
10110,7146381,40.8152,-73.9473
101101,6879782,40.7786,-73.9478
101103,6861041,40.7535,-73.9742
101106,6863617,40.7559,-73.9649
101111,6821958,40.7324,-73.9875
101113,6893488,40.8342,-73.9427
101114,6857707,40.778,-73.9489
101115,6830576,40.7688,-73.9547
101124,6838698,40.6729,-73.9822
101125,6889078,40.7565,-73.9973
101126,6853168,40.7203,-73.9549
101131,6816665,40.7562,-73.9968
101132,6827297,40.6828,-73.9525
101140,6918988,40.7593,-73.9959
101142,6930674,40.7369,-73.979
101143,6882782,40.8242,-73.9527
101144,6898722,40.7835,-73.9827
101146,6875649,40.8226,-73.9527
101147,6898448,40.7803,-73.9496
101149,6830585,40.7074,-74.0069
101150,6830996,40.7612,-73.9978
101151,6821866,40.8221,-73.9538
101154,6849984,40.7787,-73.9453
101155,6860853,40.7695,-73.9603
101159,6903318,40.6814,-73.9485
101160,6819855,40.8441,-73.8292
101163,6890545,40.7716,-73.9506
101164,6851114,40.7988,-73.9356
101167,6859431,40.7404,-73.9795
101168,6851964,40.7466,-73.9788
101172,6881565,40.7716,-73.9506
101174,6918256,40.724,-73.9828
101175,6887897,40.7963,-73.9625
101178,6865163,40.7369,-73.979
10118,7172941,40.6769,-73.9249
101180,6858424,40.7571,-73.9673
101181,6821552,40.6853,-73.913
101182,6943092,40.7505,-74.0022
101188,7127433,40.7225,-73.9925
10119,7095129,40.7491,-73.9789
101191,6875692,40.8234,-73.9457
101194,6842651,40.7902,-73.9678
101196,6891417,40.7998,-73.9609
101199,6844802,40.7815,-73.9528
10120,7132994,40.6889,-73.9576
101206,6945746,40.7711,-73.9564
101209,6845522,40.7391,-73.9964
101211,6902166,40.7594,-73.9712
101212,6835573,40.6258,-73.9415
101213,6841133,40.7423,-73.981
101214,6886182,40.7562,-73.9968
101215,6826434,40.6754,-73.9182
101217,6840217,40.7609,-73.986
101225,6906575,40.7611,-73.9989
101228,6887263,40.8163,-73.9416
101230,6848897,40.7118,-73.8258
101232,6886787,40.7075,-74.0043
101239,6868527,40.7704,-73.9566
10124,7123155,40.7726,-73.926
101240,6839714,40.7637,-73.9635
101246,6845238,40.753,-73.9958
101247,6931604,40.7111,-74.0055
101248,7056188,40.7334,-74.0047
101249,6844221,40.7277,-73.9833
10125,7166042,40.7817,-73.9824
101252,6837517,40.73,-73.9804
101254,6881356,40.7592,-73.9948
101255,6815012,40.7473,-73.9736
101258,6869500,40.7239,-73.9947
101263,6843529,40.6913,-73.9825
101266,6895790,40.7984,-73.9682
101267,6853837,40.7718,-73.9829
101268,6918830,40.7074,-74.0069
101269,6847795,40.7547,-73.981
101270,6944094,40.7834,-73.9834
101273,6936495,40.7596,-73.9926
101275,6832401,40.8676,-73.8952
101276,6814785,40.6963,-73.9239
101277,6832956,40.7307,-73.9837
101280,6845553,40.7481,-73.9771
101282,6833760,40.7283,-73.9875
101283,6859925,40.7553,-73.9955
101285,6871165,40.7177,-73.9984
101287,6902138,40.6402,-73.9567
10129,7135326,40.8514,-73.9347
101290,6814881,40.7568,-73.9982
101294,6893149,40.7072,-73.967
101300,6937242,40.7064,-74.01
101301,6846253,40.7783,-73.9804
101303,6874285,40.8087,-73.9598
101305,6851288,40.7747,-73.9506
101307,6895470,40.7632,-73.9907
101308,6862415,40.706,-74.0086
10131,7150349,40.7923,-73.9771
101310,6848528,40.7286,-73.8487
101311,6863644,40.7739,-73.9528
101312,6902029,40.7067,-74.0072
101313,6842058,40.7688,-73.9576
101315,6917169,40.7606,-73.9963
101316,6868246,40.7802,-73.9444
101317,6815977,40.7067,-74.0101
101318,6838060,40.7767,-73.9456
101323,6820740,40.7297,-73.9794
101325,6816785,40.7796,-73.9528
101326,6847063,40.7613,-73.9998
101333,6941324,40.6764,-73.9578
101334,6862542,40.7367,-74.0014
101337,6862948,40.7255,-73.9798
101339,6926640,40.708,-74.0149
101341,6830905,40.7296,-73.9999
101344,6910278,40.7376,-73.9938
101346,6906607,40.7998,-73.9596
101349,6878371,40.7959,-73.9742
101350,6920455,40.7379,-73.9728
101351,6819246,40.7773,-73.9478
101354,6841218,40.764,-73.9819
101355,6913221,40.7749,-73.9532
101356,6882156,40.7447,-73.9782
101357,6824146,40.7225,-73.9925
101358,6875322,40.7951,-73.9676
101359,6860183,40.7074,-74.0122
10136,7092611,40.7436,-73.9727
101361,6929729,40.7983,-73.9416
101363,6838154,40.7604,-73.987
101367,6911812,40.7481,-73.9748
10137,7109631,40.7456,-73.9797
101373,6913669,40.7344,-74.001
101374,6836785,40.7465,-73.9767
101375,6873603,40.7401,-73.9887
101377,6887679,40.7766,-73.9452
101379,6865962,40.7272,-73.9801
10138,7226056,40.7634,-73.9638
101380,6860585,40.7401,-73.9815
101386,6849771,40.7461,-73.9776
101387,6860171,40.6821,-73.9801
101389,6825162,40.7265,-73.9851
10139,7129774,40.7756,-73.9846
101392,6841114,40.661,-73.9812
101396,6878759,40.7657,-73.8194
101401,6943899,40.841,-73.952
101404,6897909,40.8276,-73.9413
101407,6925088,40.7286,-73.9849
101408,6921218,40.6978,-73.9838
101413,6892122,40.7441,-73.9964
101416,6825332,40.7239,-73.9901
101417,6846032,40.6775,-73.9507
101420,6917633,40.7673,-73.968
101421,6835863,40.7866,-73.9731
101422,6826309,40.7622,-73.9495
101423,6911894,40.7448,-73.9784
101425,6892743,40.7993,-73.9689
10143,7232746,40.7059,-73.8928
101433,7742631,40.7074,-74.0076
10144,7182317,40.7696,-73.9567
101440,6930429,40.7297,-73.9999
101442,6887523,40.73,-73.9864
101452,6839796,40.7562,-73.9968
101454,6948401,40.7128,-74.0059
101457,6904679,40.7354,-74.0056
10146,7232627,40.7506,-73.9713
101461,6817202,40.7152,-73.9564
101467,6836210,40.737,-73.9803
101469,6818618,40.7382,-73.9918
101472,6814162,40.7506,-73.9979
101473,6864980,40.7768,-73.9457
101474,6855480,40.7461,-73.9757
101476,6823845,40.7327,-73.9933
10148,7128045,40.7194,-73.9964
101484,6826475,40.7254,-73.9873
101485,7222201,40.7334,-74.0047
101486,6820326,40.6923,-73.905
101496,6851165,40.7316,-73.9839
101497,6881819,40.7705,-73.9503
101498,6939704,40.7758,-73.9566
101499,6849151,40.7467,-73.9778
1015,7124104,40.7056,-74.0162
10150,7176059,40.7967,-73.9485
101501,6864765,40.7801,-73.9544
101503,6851532,40.7301,-73.9942
101509,6839525,40.7442,-73.8925
10151,7228345,40.8618,-73.9268
101510,6910484,40.7233,-73.9915
101511,6927905,40.7702,-73.964
101518,6891652,40.7522,-74.0042
101520,6910673,40.8021,-73.945
101523,6864837,40.7765,-73.9571
101525,6913288,40.7643,-73.9905
101528,6865192,40.7701,-73.955
10153,7150096,40.73,-73.9804
101530,6863935,40.7423,-73.9995
101531,6842869,40.7595,-73.9887
101532,6846674,40.7456,-73.9797
101534,6832372,40.7468,-73.9903
101538,6920348,40.7518,-73.9944
10154,7157355,40.8035,-73.9663
101540,6938470,40.887,-73.9088
101542,6846449,40.7279,-73.9829
101544,6832557,40.7637,-73.9937
101546,6912847,40.7634,-73.9638
101548,6833354,40.7243,-74.0103
101553,6867330,40.7364,-73.9809
101555,6842206,40.7638,-73.994
101556,6938445,40.764,-73.9819
10156,7091162,40.7605,-73.9678
101561,6922749,40.7716,-73.9506
101562,6920062,40.7845,-73.9503
101566,6840735,40.7327,-73.8638
101567,6822384,40.7105,-74.0134
101568,6861218,40.7599,-73.9908
101569,6920690,40.7647,-73.9826
101571,6852821,40.7536,-73.9739
101574,6876515,40.7265,-73.9851
101581,6842398,40.7567,-73.9676
101584,6874980,40.7266,-74.0013
101594,6942042,40.7285,-73.861
101597,6926332,40.7878,-73.9799
1016,7096061,40.7947,-73.9667
101600,6895718,40.7298,-73.9817
101601,6883925,40.6661,-73.9882
101602,6882502,40.8206,-73.9456
101605,6941348,40.7512,-74.0026
101608,6883073,40.708,-74.0149
101612,6925010,40.7568,-73.9982
101616,6882248,40.7413,-73.9781
101617,6856669,40.7205,-73.9793
101619,6907259,40.7356,-73.9789
101620,6903521,40.7587,-73.9916
101621,6855788,40.708,-74.0149
101623,6916374,40.7621,-73.9956
101624,6939489,40.7802,-73.9478
101627,6925780,40.7769,-73.9459
10163,7117474,40.758,-73.9543
101630,6855747,40.7481,-73.9564
101631,6864772,40.7109,-74.0165
101634,6851586,40.7643,-73.9918
101635,6825604,40.708,-74.0149
10164,7208772,40.7228,-73.9846
101644,6909227,40.7832,-73.9482
101646,6940852,40.7723,-73.9533
101647,6939685,40.8023,-73.9617
101649,6842623,40.6907,-73.9216
10165,7099995,40.7568,-73.9982
101650,6931494,40.7635,-73.9848
101652,6905835,40.7215,-73.9566
101659,6896530,40.7494,-73.9875
101663,6823765,40.7404,-73.9795
101664,6849844,40.7606,-73.9963
101668,6844930,40.7811,-73.9482
101674,6906470,40.7356,-73.9789
101675,6918331,40.7478,-74.0008
101678,6894332,40.7654,-73.9899
101681,6869265,40.7334,-74.0047
101682,6814363,40.726,-73.9784
101686,6854394,40.7984,-73.9632
101688,6907230,40.7571,-73.9647
10169,7093331,40.7436,-73.9727
101693,6840313,40.7596,-73.99
101695,6873590,40.7692,-73.9596
101698,6904891,40.7162,-74.0095
1017,7152668,40.65,-73.9642
101709,6814951,40.7295,-74.0008
10171,7185366,40.7067,-74.0072
101710,6945741,40.7405,-74.0007
101713,6813607,40.7399,-73.9864
101714,6867396,40.7962,-73.9461
101715,6948151,40.7792,-73.9492
101717,6822756,40.7518,-73.9398
10172,7099407,40.7545,-73.9976
101720,6899455,40.7829,-73.973
101721,6925683,40.7399,-73.9864
101723,6820033,40.6905,-73.9668
101725,6877317,40.7827,-73.9461
101727,6873355,40.7611,-73.9877
101730,6837089,40.7129,-73.9896
101732,6891893,40.7778,-73.9119
101733,6816465,40.7679,-73.9546
101736,6910423,40.7322,-73.9876
101741,6889741,40.7939,-73.9737
101744,6850839,40.7534,-73.9713
101745,6893520,40.7709,-73.9917
101746,6917120,40.7947,-73.9401
101747,6852357,40.7412,-73.9772
101748,6917681,40.7494,-73.9875
101749,6864374,40.6805,-73.9624
101752,6875134,40.776,-73.9556
101757,6908040,40.776,-73.9556
101759,6906466,40.6867,-73.957
10176,7179868,40.7694,-73.9185
